chunk_id,raw_text,clean_text,section_label,orientation
1,"Overview
Wafers Shine on Visions Wide
Ideas stream like colors glide.
In wafers mirrored and aligned, for the vibrant future you envision.
We unleash your innovation, weaving humanity with nature’s flow.
With stakeholders together, we make it so—Unleashing tech in endless glow.
Each drop becomes a widening ripple, at each encounter, let brilliance sparkle.",wafer shine vision wide idea stream color glide wafer mirror align vibrant future envision unleash innovation weave humanity nature flow stakeholder unleash tech endless glow drop widen ripple encounter let brilliance sparkle,social,people_centric
2,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
Letter from the ESG Steering Committee Chairperson
At TSMC, we solve the world's most complex technological challenges. As one of the information and communication products using TSMC chips, saved 141 billion kWh of
global leaders in semiconductor technology and production, we are driven by the electricity globally, equivalent to reducing 59 million tons of carbon emissions in
belief that the solutions deliver power progress – not just for our customers, but for 2024. By 2030, every kWh consumed in semiconductor production at TSMC
global society as a whole. From smartphones to AI and supercomputers, when we talk is projected to save 6.39 kWh globally.
about addressing challenges, it's beyond circuits and wafers—it's about shaping the
future. 2024 marked the first year in which global temperatures exceeded
the critical 1.5°C threshold established by the Paris Agreement.
Creating a responsible and sustainable future, sustainability is not an afterthought At TSMC, urgent climate actions have long-been underway. We
in TSMC – it’s embedded in every decision we make. Each year, we advance our firmly believe that every initiative we undertake in pursuit of
commitment to operating with minimal environmental impact. To us, ESG is not merely sustainability is an opportunity to generate shared value
a responsibility; It is fundamental to our operational resilience, competitiveness, and and drive transformative change for both the environment
long-term value. and society.
We lead pioneering carbon reduction technologies and low-carbon operations, In this sustainability report, you will see TSMC's
ambitiously pursuing net zero emissions and carbon neutrality. We invest in next- significant advancements in its five sustainability roles:
generation carbon reduction, water-saving and circular economy practices; we as an innovation pioneer, a responsible purchaser, a
support renewable energy; and we cultivate an inclusive, empowering, and innovative practitioner of green power, an admired employer,
workplace. and power to change society. I extend my profound
gratitude to all TSMC employees who exemplify
Our sustainability ethos extends far beyond our walls. To build a responsible value excellence in their roles, harnessing technology,
chain, TSMC encourages suppliers to develop environmentally friendly products and expertise, and passion to elevate human welfare and
technologies, ensuring responsible mineral sourcing and human rights protection. safeguard our ecological environment, alongside our
Additionally, TSMC actively engages with communities where our global production steadfast stakeholders.
sites are located, supporting local environmental initiatives, education, healthcare,
and caring for the elderly and underprivileged. TSMC ensures that employees take
pride in their work, knowing it contributes to a company that prioritizes responsible
operations and global positive impact.
TSMC's cross-generational sustainable products lead the world in density and energy C.C. Wei
efficiency. According to the latest studies from ITRI, the carbon reduction achieved Chairman and Chief Executive Officer/
in TSMC's manufacturing process, combined with the energy-saving effects of ESG Steering Committee Chairperson",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society letter steering committee chairperson solve world complex technological challenge communication product chip save kwh leader semiconductor technology production drive electricity equivalent reduce ton carbon emission belief solution deliver power progress customer kwh consume semiconductor production society smartphone supercomputer talk project save kwh address challenge circuit wafer shape future mark temperature exceed critical threshold establish paris agreement create responsible sustainable future afterthought urgent climate action underway embed decision advance believe initiative undertake pursuit commitment operate minimal environmental impact opportunity generate share responsibility fundamental operational resilience competitiveness drive transformative change environment long term society lead pioneer carbon reduction technology low carbon pursue net emission carbon neutrality invest next- significant advancement role generation carbon reduction water save circular economy practice innovation pioneer responsible purchaser support renewable energy cultivate inclusive empower innovative practitioner green power admired employer workplace power change society extend profound gratitude employee exemplify ethos extend wall build responsible excellence role harness technology chain encourage supplier develop friendly product expertise passion elevate human welfare technology ensure responsible mineral source human right protection safeguard ecological environment engage community production steadfast stakeholder site locate support local environmental initiative education healthcare care elderly underprivileged ensure employee pride work know contribute prioritize responsible positive impact cross generational sustainable product lead world density energy wei efficiency accord late study itri carbon reduction achieve chairman chief executive officer manufacturing process combine energy save effect steering committee chairperson,environment,action_oriented
3,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
Letter from the ESG Committee Chairperson
In today's era of interconnected global risks, the United Nations reaffirmed the importance of multilateralism and both mental and physical well-being as well as intrinsic safety, TSMC began expanding its World Mental Health
international cooperation during the 2024 Summit of the Future, advocating for collective action to advance Month campaign in 2024, introducing protective gear in diverse sizes for employees and on-site contractors, and
sustainability and drive transformative change worldwide. Reflecting these global priorities, TSMC actively enhancing construction project safety by deploying 24/7 on-site ambulances and emergency medical technicians
collaborates with internal and external stakeholders across five ESG directions—Drive Green Manufacturing, Build a to safeguard workers’ health and safety.
Responsible Supply Chain, Create a Healthy and Inclusive Workplace, Develop Talent, and Care for the
Underprivileged. Through these efforts, TSMC strives to contribute to a resilient, inclusive, and shared future for all. As the Company approaches the midterm milestone of achieving the United Nations SDGs by 2030, the TSMC
Education and Culture Foundation and the TSMC Charity Foundation are actively driving a wide range of social
Maintaining its industry-leading position, the Company successfully began risk production of 2nm technology in initiatives aimed at supporting the realization of these goals. TSMC continues to expand its industry-academia
2024, with exploratory research advancing into technologies beyond 14 angstrom (A14). By leveraging 288 process collaboration to enhance performance in SDG 17 – Partnerships for the Goals performance. To ensure effective
technologies enabling 11,878 customer product innovations, TSMC continues to pioneer technological and societal use of resources, the Company conducts thorough social impact analysis and
progress. Through global expansion and cross-border, cross-disciplinary collaborations, the Company is working with assessments using the IMP and the IRIS+ frameworks.
partners worldwide to drive semiconductor industry innovation and promote shared growth.
Transparency and disclosure of information remain the foundation of
According to the World Economic Forum’s (WEF) latest “Global Risks Report ,” extreme weather events are the top trust between companies and stakeholders. In response to global
ranking long-term (10-year) global risk for the second consecutive year, indicating critical needs for accelerating sustainability regulations and trends, TSMC adopted the Double
climate action. In 2024, TSMC deployed 1,177 electricity-saving measures, expanded a diverse portfolio of renewable Materiality principle set out by the ESRS and established an
energy solutions , and set 2025 as the baseline year for achieving Scope 1 to 3 absolute emission reduction implementation plan for the “IFRS Sustainability Disclosure
targets under the SBTi Corporate Net Zero Standards by 2035. ""Water Positive "" was incorporated into TSMC's Standards ” in 2024. These efforts were aimed at
long-term Water Stewardship goals and established as a key strategy for addressing climate change and reinforcing ESG governance structures and internal
strengthening climate resilience. Additionally, TSMC introduced its first carbon reduction subsidy program, specifically control mechanisms for realizing more efficient, data-
targeting tier 1 raw material suppliers operating in Taiwan, as part of its efforts to develop a low-carbon supply chain. driven sustainability management models to make
Beginning in 2025, the Company will incorporate carbon reduction performance into its supplier selection criteria . It positive impacts across the entire value chain.
will also require key contributors to emissions—suppliers responsible for 90% of total raw material carbon
emissions—to sign the TSMC Greenhouse Gas Reduction, Emissions Elimination & Neutrality (GREEN) Agreement .
This initiative aims to strengthen efforts in reducing Scope 3 emissions.
TSMC is dedicated to fostering a people-focused culture. In 2024, the Company continued to host a series of Global
Inclusive Workplace Campaigns , focusing on three key themes: Action, Equity, and Allyship. These initiatives strive
to empower employees to become advocates for a more inclusive workplace. In alignment with TSMC's Human
Rights Policy , the Company conducted its first global “Workplace Human Rights Climate Survey,” engaging
employees across all operational sites, to better understand their perspectives on work-related human rights issues.
The insights gained will serve as a valuable reference to shaping future human rights management actions.
Lora Ho
Additionally, human rights due diligence has been expanded to the supply chain, with long-term goals now
Senior Vice President and ESG Committee Chairperson
incorporating human rights performance metrics to ensure accountability. In fostering a workplace prioritizing",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society letter committee chairperson today era interconnect risk united nations reaffirm importance multilateralism mental physical intrinsic safety begin expand world mental health international cooperation summit future advocate collective action advance month campaign introduce protective gear diverse size employee site contractor drive transformative change reflect priority enhance construction project safety deploy site ambulance emergency medical technician collaborate internal external stakeholder direction drive green manufacturing build safeguard worker health safety responsible supply chain create healthy inclusive workplace develop talent care underprivileged effort strive contribute resilient inclusive share future approach midterm milestone achieve united nations education culture foundation charity foundation drive wide range social maintain industry lead position begin risk production technology initiative aim support realization goal continue expand industry academia exploratory research advance technology angstrom a14 leverage process collaboration enhance performance sdg partnership goal performance ensure effective technology enable customer product innovation continue pioneer technological societal use resource conduct thorough social impact analysis progress expansion cross border cross disciplinary collaboration work assessment imp iris framework partner drive semiconductor industry innovation promote share growth transparency disclosure remain foundation accord world economic forum wef late risk extreme weather event trust stakeholder response rank long term risk second consecutive indicate critical need accelerate regulation trend adopt double climate action deploy electricity save measure expand diverse portfolio renewable materiality principle set esrs establish energy solution set baseline achieve scope absolute emission reduction implementation plan ifrs disclosure target sbti corporate net standard water positive incorporate standard effort aim long term water stewardship goal establish key strategy address climate change reinforce governance structure internal strengthen climate resilience introduce carbon reduction subsidy program control mechanism realize efficient data- target tier raw material supplier operate effort develop low carbon supply chain drive management model beginning incorporate carbon reduction performance supplier selection criterion positive impact entire chain require key contributor emission supplier responsible total raw material carbon emission sign greenhouse gas reduction emission elimination neutrality green agreement initiative aim strengthen effort reduce scope emission dedicate foster people focus culture continue host series inclusive workplace campaign focus key theme action equity allyship initiative strive empower employee advocate inclusive workplace alignment human right policy conduct workplace human right climate survey engage employee operational site understand perspective work relate human right issue insight gain serve valuable reference shape future human right management action lora human right diligence expand supply chain long term goal senior vice president committee chairperson incorporate human right performance metric ensure accountability foster workplace prioritize,environment,action_oriented
4,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
About TSMC
To address the rapid growth of artificial intelligence applications, TSMC continues to scale up its R&D
12.9 69
Million Wafers %
capabilities, offering industry-leading 3-nanometer, 2-nanometer, and 16-angstrom process technologies
to meet customer needs and deliver advanced technology. The Company is driven by its three key Shipments reached an equivalent of 12.9 million 69% of revenue generated from advanced
competitive strengths: Technology Leadership, Manufacturing Excellence, and Customer Trust. It aims to 12-inch wafers processes of 7nm and below, up 11
percentage points from 2023
achieve success in its core business while actively upholding its responsibilities as a corporate citizen. TSMC
strives for excellence, by working closely with all of its stakeholders including employees, shareholders/
522 $6.361
investors, customers, suppliers/contractors, government/industry associations, and communities, to shape Customers Billion
a sustainable and inclusive future. Provided with 288 process technologies for their R&D expenses (US$)
product needs
TSMC operates four 12-inch wafer Gigafab® facilities, four 8-inch wafer fabs, and one 6-inch wafer fab in
Taiwan, as well as overseas facilities including TSMC (China), TSMC (Nanjing), TSMC Washington, LLC, TSMC
Arizona, and JASM (Japan). The Company has also established subsidiaries or offices in the United States, $1.17327 Trillion
Europe, Canada, Japan, and South Korea. In 2024, ESMC in Dresden, Germany, began construction on a
Net income (NT$)
wafer fabrication facility for specialty processes. The Company also unveiled plans for a third fab at TSMC
Arizona to deliver technical and business support to customers.
Headquarters Founded in Number of Employees
Hsinchu Science Park 1987 84,512
Revenue Share by Customer Revenue Share by Product Platform
Headquarters Location
North American Market Smartphones Highperformance Computing
Asia-Pacific Market Excluding Japan and China Internet of Things (IoT) Automotive Electronics
Chinese Market Consumer Electronics Other Products
European, Middle Eastern, and African Market
Japanese Market 6",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society address rapid growth artificial intelligence application continue scale wafer capability offer industry lead nanometer nanometer angstrom process technology meet customer need deliver advanced technology drive key shipment reach equivalent revenue generate advanced competitive strength technology leadership manufacturing excellence customer trust aim inch wafer process percentage point achieve success core uphold responsibility corporate citizen strive excellence work stakeholder employee shareholder investor customer supplier contractor government industry association community shape customer sustainable inclusive future provide process technology expense product need operate inch wafer gigafab facility inch wafer fab inch wafer fab overseas facility china nanjing washington llc arizona jasm japan establish subsidiary office united states europe canada japan south korea esmc dresden germany begin construction net income wafer fabrication facility specialty process unveil plan fab arizona deliver technical support customer headquarters found number employee hsinchu science park revenue share customer revenue share product platform headquarters location north american market smartphone highperformance compute asia pacific market exclude japan china internet thing iot automotive electronic chinese market consumer electronic product european middle eastern african market japanese market,talent,people_centric
5,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
Innovation Value
Technology Benefits to
Semiconductors are the foundation of technological Innovations for
Development Customer Product
progress, revolutionizing daily lives and work Sustainability
Focuses Innovation
environments. They are integral to pioneering
advancements in AI-empowered communications, data ● D sc r a iv li i n n g g f s o e r m b i o co th n d lo u g c i t c o a r n d sem TS ic M o C n d c u o c n t t o in r u te e c s h t n o o a lo d g va ie n s c e an d ● B co o m os p t u in t g in p g r p o o d w uc e t r
analytics, environmental sustainability, healthcare, smart specialty technologies services, enabling customers to
living, autonomous transportation, and entertainment. unleash 11,878 chip innovations ● Increasing product energy
● Expanding specialty in 2024. These innovations efficiency
Through five major technology platforms including High technology offerings
make products more advanced, ● Enabling smaller form
Performance Computing (HPC), Smartphones, Internet of ● Advancing and capable, intelligent, energy- factors
Things (IoT), Automotive, and Digital Consumer Electronics e 3 x D p F a a n b d ri i c n ® g t T e S c M hn C o logy i e n ffi cr c e i a e s n in t, g a n th d e s q a u fe a r, l it s y ig o n f i fi li c fe a n a t n ly d ● Providing greater chip
(DCE), TSMC provides comprehensive and competitive design flexibility
offerings contributing to a sustainable
logic process technologies, specialty technologies, society for the common good.
intellectual properties (IPs), and packaging and testing
technologies. These offerings help customers accelerate
their product innovation, foster economic growth, protect
the environment, and drive sustainable social progress.
HPC enhances AI-driven technology Equipped with increasingly powerful Intelligent IoT has the potential The automotive industry is evolving AI-enabled digital consumer electronics
by enabling fast, precise, and energy- neural processing units (NPUs) and to transform industries, improve through greener electric vehicles have significantly transformed lives by
efficient training and inference of sensors, smartphones can perform productivity, reduce waste and loss, and (EVs), safer AI-powered advanced enhancing the human-machine interface
complex predictive models on data complex on-device AI tasks, such as enhance quality of life by advancing driver-assistance systems (ADAS), for improved user experiences. For
center CPUs, GPUs, and ASICs. Beyond multi-modal features like chatbots, digital healthcare. For example, wireless and autonomous driving (AD). AI- example, many smart digital TVs (DTVs)
empowering early warning systems to translation, image recognition, and technology chips enable continuous assisted digital cockpits are becoming now feature voice recognition
mitigate extreme climate disasters and analytics. In the future, smartphones will glucose monitoring (CGM) for people more interactive and power-efficient, technology, AI-driven picture quality (PQ),
advancing medical breakthroughs, HPC feature agentic AI capable of executing living with diabetes worldwide, thereby enhancing human-machine interaction and high frame rates (HFR) of 120Hz or
also enables smart factories to improve entire workflows from start to finish, improving health management and delivering smarter, more eco-friendly even higher. Additionally, advanced
energy efficiency through real-time data resulting in faster response times and efficiency. (Chip photo courtesy of EM driving experiences, all while making process technology in set-top boxes
analysis, optimized energy use, and creating user experiences that are more Microelectronic) roads safer. (STBs) reduces power consumption,
reduced consumption. secure, seamless, and personalized. helping them achieve higher ENERGY
STAR® standards.",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society innovation technology benefit semiconductor foundation technological innovation development customer product progress revolutionize daily life work focus innovation environment integral pioneer advancement empower communication datum sem analytics environmental healthcare smart specialty technology service enable customer live autonomous transportation entertainment unleash chip innovation increase product energy expand specialty innovation efficiency major technology platform high technology offering product advanced enable small form performance compute hpc smartphone internet advance capable intelligent energy- factor thing iot automotive digital consumer electronic logy ffi provide great chip dce provide comprehensive competitive design flexibility offering contribute sustainable logic process technology specialty technology society common good intellectual property ips packaging testing technology offering help customer accelerate product innovation foster economic growth protect environment drive sustainable social progress hpc enhance drive technology equip powerful intelligent iot potential automotive industry evolve enable digital consumer electronic enable precise energy- neural processing unit npus transform industry improve green electric vehicle transform life efficient training inference sensor smartphone perform productivity reduce waste loss evs safe powered advanced enhance human machine interface complex predictive model datum complex device task enhance quality life advance driver assistance system ada improved user experience center cpus gpu asic multi modal feature chatbot digital healthcare example wireless autonomous driving example smart digital dtvs empower early warning system translation image recognition technology chip enable continuous assist digital cockpit feature voice recognition mitigate extreme climate disaster analytic future smartphone glucose monitor cgm people interactive power efficient technology drive picture quality advance medical breakthrough hpc feature agentic capable execute live diabete enhance human machine interaction high frame rate hfr 120hz enable smart factory improve entire workflow start finish improve health management deliver smart eco friendly high advanced energy efficiency real time datum result fast response time efficiency chip photo courtesy drive experience make process technology set box analysis optimize energy use create user experience microelectronic road safe stbs reduce power consumption reduce consumption secure seamless personalize help achieve high energy star standard,environment,action_oriented
6,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
Five Technology Platforms
High Performance Digital Consumer
Smartphones Internet of Things (IoT) Automotive
Computing (HPC) Electronics (DCE)
Enables 5G, artificial Enhances productivity and Enables pervasive Makes vehicles, including Enables AI-driven smart
intelligence (AI), cloud, streamlines daily tasks to connectivity through hybrid and electric cars, devices
and data centers to deliver improve communication Artificial Intelligence of safer, smarter, and greener
faster, smarter, and more effectiveness Things (AIoT) innovations for
efficient services across a smarter, greener future
various sectors
● Central Processing Unit (CPU) ● Application Processor (AP) ● Application Processor (AP) ● Application Processor (AP) ● Application Processor (AP)
● Graphics Processor Unit (GPU) ● Baseband ● Microcontroller Unit (MCU) ● Microcontroller Unit (MCU) ● Microcontroller Unit (MCU)
● Field Programmable Gate Array (FPGA) ● RF Transceiver ● Baseband ● Baseband ● Wireless Local Area Network (WLAN)
● Server CPU ● Wireless Local Area Network (WLAN) ● RF Transceiver ● RF Transceiver ● Bluetooth
● Artificial Intelligence/Machine Learning ● CMOS Image Sensor (CIS) ● Wireless Local Area Network (WLAN) ● Wireless Local Area Network (WLAN) ● Embedded Flash Memory
(AI/ML) Accelerator ● Near Field Communication (NFC) ● CMOS Image Sensor (CIS) ● CMOS Image Sensor (CIS) ● Power Management IC
● Network Processing Unit (NPU) ● Bluetooth ● Near Field Communication (NFC) ● Near Field Communication (NFC) ● Timing Controller (T-CON) , etc.
● High-speed Networking Chip, etc. ● Global Positioning System (GPS) ● Bluetooth ● Radar
● Ultra-wideband (UWB), etc. ● Embedded Non-volatile Memory ● Ultra-wideband (UWB)
(eNVM) ● Ethernet Switch
● Radio Frequency Identification (RFID) ● Power Management IC, etc.
● Ultra-wideband (UWB), etc.",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society technology platform high performance digital consumer smartphone internet thing iot automotive computing hpc electronic dce enable artificial enhance productivity enable pervasive make vehicle enable drive smart intelligence cloud streamline daily task connectivity hybrid electric car device datum center deliver improve communication artificial intelligence safe smart greener smart effectiveness thing aiot innovation efficient service smart greener future sector central processing unit cpu application processor application processor application processor application processor graphics processor unit gpu baseband microcontroller unit mcu microcontroller unit mcu microcontroller unit mcu field programmable gate array fpga transceiver baseband baseband wireless local area network wlan server cpu wireless local area network wlan transceiver transceiver bluetooth artificial intelligence machine learn cmos image sensor cis wireless local area network wlan wireless local area network wlan embed flash memory accelerator field communication cmos image sensor cis cmos image sensor cis power management network processing unit bluetooth field communication field communication time controller con high speed network chip positioning system gps bluetooth radar ultra wideband uwb embed non volatile memory ultra wideband uwb envm ethernet switch radio frequency identification rfid power management ultra wideband uwb,governance,action_oriented
7,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
Sustainability at TSMC
Economic Environmental Social
$6,355 Million 96% $2.441 Billion
R&D expenditures have grown 3.1-fold
Reduction rate of fluorinated Investment in social engagement
compared to ten years ago (US$)
greenhouse gases initiatives (NT$)
Reduction rate of $301.8 Billion
100% volatile organic
compounds Total compensation
Patent approval rate in and welfare provided
the U.S. is nearly 100%, to TSMC employees
ranking first among the globally (NT$)
top 10 patent holders 10,073
$2.45 Trillion
Employees recruited
Generated domestic output value of 2.45 810 GWh worldwide
trillion (NT$) and created 358,000 job
opportunities in Taiwan Additional annual
11,878 energy savings achieved
through 1,177 energy-
3,503,894
Delivered products saving measures
to 522 customers
Total attendances for
through manufacturing
training programs
excellence 97%
Global waste
96% recycling rate 100%
1,391,674
Achieved a customer trust and Introduced a long-term goal to
satisfaction rating of 96% become water positive by 2040, with Beneficiaries of social
100% completion expected engagement programs",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society economic environmental social expenditure grow fold reduction rate fluorinate investment social engagement compare greenhouse gas initiative reduction rate volatile organic compound total compensation patent approval rate welfare provide employee rank patent holder employee recruit generate domestic output gwh create job opportunity additional energy saving achieve energy- deliver product save measure customer total attendance manufacture training program excellence waste recycling rate achieve customer trust introduce long term goal satisfaction rating water positive beneficiary social completion expect engagement program,environment,people_centric
8,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
Sustainability Stories
TSMC shapes its sustainability narrative by
focusing on meaningful progress it achieves in
Customer Relations
its journey toward sustainable development. By
collaborating with stakeholders, TSMC seeks to 12-Second FTP Application
create a ripple effect that drives positive change Upgrades Customer Experience
and broader impact.
TSMC-Online™ launched a new ""File Transfer
Protocol (FTP) Account Service,"" shortening
As “An Innovation Pioneer,” TSMC continually
customer FTP account application time from
enhances its capabilities, strengthens product
3.5 days to just 12 seconds. This automated
quality and competitiveness, and builds strong
FTP account management workflow
bonds with customers to earn their trust.
Product Quality enhances both the security and efficiency of
Committed to being “A Responsible Purchaser,” the
data transmission.
Company works closely with suppliers across a wide AI Deployment Cuts Image
range of ESG dimensions, strengthens operational Review Time by 90%
Innovation Management
resilience, and accelerates the transition toward Leveraging angstrom-level images generated → Learn more
net zero. In its role as a “A Practitioner of Green Digital Innovation Enables Global
by TEM, TSMC developed a ""TEM Image
Power,” the Company leverages innovative Manufacturing Integration
Quality Auto-Inspection System."" This system
technologies to increase energy efficiency, while
TSMC’s Digitalized Workflow Platform utilizes AI models to assist with image
dedicating itself to water resource conservation,
automates SOPs through code-based identification operations, comprehensively
pollution control, and circular economy practices
translation, elevating consistency in optimizing image quality and processing
in its journey toward green manufacturing.
operational efficiency across global sites efficiency while strengthening process
while facilitating cross-border collaboration control.
TSMC embraces global talent, provides competitive
between fabs. The platform executes an
compensation and welfare as well as training
Learn more
average of one million tasks each month, →
programs, and cultivates a safe, healthy, equitable,
establishing a unified global One Team.
inclusive, and human rights–respecting workplace
to become “An Admired Employer.” Grounded in its
core business of dedicated semiconductor foundry,
the Company, through the TSMC Education and
Learn more
→
Culture Foundation and TSMC Charity Foundation,
coordinates resources from industry, government,
and academia to address stakeholder needs and
provide resources, under their “Power to Change
Society” mantra while driving positive impact.",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society story shape narrative focus meaningful progress achieve customer relation journey sustainable development collaborate stakeholder seek second ftp application create ripple effect drive positive change upgrade customer experience broad impact online launch new file transfer protocol ftp account service shortening innovation pioneer customer ftp account application time enhance capability strengthen product day second automate quality competitiveness build strong ftp account management workflow bond customer earn trust product quality enhance security efficiency commit responsible purchaser transmission work supplier wide deployment cut image range dimension strengthen operational review time innovation management resilience accelerate transition leverage angstrom level image generate learn net role practitioner green digital innovation enable tem develop tem image power leverage innovative manufacturing integration quality auto inspection system system technology increase energy efficiency digitalize workflow platform utilize model assist image dedicate water resource conservation automate sop code base identification pollution control circular economy practice translation elevate consistency optimize image quality processing journey green manufacture operational efficiency site efficiency strengthen process facilitate cross border collaboration control embrace talent provide competitive fab platform execute compensation welfare training learn average task month program cultivate safe healthy equitable establish unified team inclusive human right respect workplace admired employer ground core dedicated semiconductor foundry education learn culture foundation charity foundation coordinate resource industry government academia address stakeholder need provide resource power change society mantra drive positive impact,talent,action_oriented
9,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
Climate and Energy
Residual Hydrogen Power
Generation Achieves 52.3%
Efficiency: A Breakthrough in
Green Energy
TSMC initiated the ""EUV Process Residual
Hydrogen Resource Utilization Preliminary
Assessment Project."" This initiative
features a proton exchange membrane
fuel cell that converts excess hydrogen
from EUV processes into electricity with
52.3% generation efficiency, enabling Water Stewardship
more environmentally responsible process
Technology Upgrade Cuts
management.
Chemical Use in Wastewater
Treatment by 30%
Learn more
→
Innovation Management TSMC optimized ammonia-nitrogen
wastewater segregation treatment by
93% Closure Rate for Supplier 2,900 Ideas Drive Industry-Wide
identifying key concentration intervals,
Deficiencies Strengthens Sustainable Innovation
decreasing chemical agent consumption by
Resilience
Committed to advancing industry-wide 30% while reducing waste generation and
Through its Supplier Total Risk prosperity, TSMC shares its sustainability conserving energy, creating a dual benefit
Understanding Simulation Technology culture promotion experience with suppliers, for operational efficiency and environmental
(TRUST) model, TSMC effectively consolidates strategically replicating the ESG AWARD protection.
supplier management results and identifies program across 27 suppliers, generating
potential vulnerabilities across the supply over 2,900 innovative sustainability ideas.
chain. This enables tiered risk management → Learn more
and consistently enhances risk control
performance.
Learn more Learn more
→ →",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society climate energy residual hydrogen power generation achieve efficiency breakthrough green energy initiate euv process residual hydrogen resource utilization preliminary assessment project initiative feature proton exchange membrane fuel cell convert excess hydrogen euv process electricity generation efficiency enable water stewardship responsible process technology upgrade cut management chemical use wastewater treatment learn innovation management optimize ammonia nitrogen wastewater segregation treatment closure rate supplier idea drive industry wide identify key concentration interval deficiency strengthen sustainable innovation decrease chemical agent consumption resilience commit advance industry wide reduce waste generation supplier total risk prosperity share conserve energy create dual benefit understand simulation technology culture promotion experience supplier operational efficiency environmental trust model consolidate replicate award protection supplier management result identify program supplier generate potential vulnerability supply innovative idea chain enable tiere risk management learn enhance risk control performance learn learn,environment,action_oriented
10,"Overview Sustainable Business Practices Operations and Governance Appendix
2024 Sustainability Report
An Innovation Pioneer A Responsible Purchaser A Practitioner of Green Power An Admired Employer Power to Change Society
Circular Resources Inclusive Workplace
Circular Value Creation: Everyone as an Inclusion
9,400 Metric Tons of Waste Champion in the Workplace
Transformed into Industrial
To encourage employees to turn the
Resources
inclusive workplace philosophy into actions,
TSMC’s Zero Waste Manufacturing Center the Inclusion Champion Program offers a
in Taichung is now operating, converting wide array of activities that foster empathy
process waste into industrial-grade raw and raise awareness of inclusion. Through a
materials and producing regenerated participants' accumulation of initiatives, the
electronic-grade chemicals for reuse in program nurtures champions of an inclusive
semiconductor manufacturing. In 2024, workplace culture. In 2024, the program
the center processed 9,400 metric tons Air Pollution Control recorded 149,565 cumulative participants. Talent Attraction and Retention
of waste, yielding products valued at
Innovative Air Pollution Control Open House Family Day:
approximately NT$20 million.
Technology Reduces Nitrogen Experience a Day as TSMCers
Oxide Emissions by 40%
TSMC organized Open House Family Days
Learn more Learn more
→ →
TSMC partnered with suppliers to initiate the at its domestic and international locations,
Nitrous Oxide Reduction Project, applying featuring a broad range of interactive
reduction-oxidation reactions that introduce activities. Employees’ family members were
methane as a reducing agent into on- invited to visit the workplace and observe
site electric thermal treatment systems. the wafer fabrication process firsthand,
This method increased the nitrous oxide cultivating a sense of belonging and well-
abatement rate from 42% to 90% and being.
curtailed nitrogen oxide emissions by 40%.
Learn more Learn more
→ →",sustainable practice governance innovation pioneer responsible purchaser practitioner green power admired employer power change society circular resource inclusive workplace circular creation inclusion metric ton waste champion workplace transform industrial encourage employee turn resource inclusive workplace philosophy action waste manufacturing center inclusion champion program offer taichung operate convert wide array activity foster empathy process waste industrial grade raw raise awareness inclusion material produce regenerated participant accumulation initiative electronic grade chemical reuse program nurture champion inclusive semiconductor manufacturing workplace culture program center process metric ton air pollution control record cumulative participant talent attraction retention waste yield product innovative air pollution control open house family day technology reduce nitrogen experience day tsmcer oxide emission organize open house family day learn learn partner supplier initiate domestic international location nitrous oxide reduction project apply feature broad range interactive reduction oxidation reaction introduce activity employee family member methane reduce agent on- invite visit workplace observe site electric thermal treatment system wafer fabrication process method increase nitrous oxide cultivate sense belong well- abatement rate curtail nitrogen oxide emission learn learn,talent,people_centric
